Outcome,Percentile,Theta_Oracle,Variance_Oracle,Lower_CI_Oracle,Upper_CI_Oracle,Theta_Surrogate,Variance_Surrogate,Lower_CI_Surrogate,Upper_CI_Surrogate,Theta_Latent_Unconfounded,Variance_Latent_Unconfounded,Lower_CI_Latent_Unconfounded,Upper_CI_Latent_Unconfounded
z_score6,55,-0.007834859965665355,15.121950087440958,-0.18025568206169412,0.16458596213036342,-0.0410041828039683,34.297506855008535,-0.1554619163079714,0.07345355070003481,0.0029706695897980177,41.98740261466765,-0.12367005033526864,0.12961138951486467
z_score6,65,-0.09731529372646623,15.275796368771825,-0.2706109757274237,0.07598038827449123,-0.06935390849043004,37.72090055056616,-0.18938807805820776,0.05068026107734769,-0.04045878042740061,47.94491847595771,-0.17578599978032833,0.0948684389255271
z_score6,75,-0.10875906380285888,17.139167262411405,-0.29232017154663437,0.07480204394091658,-0.08224287930068148,54.8668705091889,-0.2270096746834001,0.06252391608203715,-0.08637654637996839,66.24811675307889,-0.2454510711483807,0.07269797838844391
z_score6,85,0.021262481938302064,18.635028255312697,-0.17014144296770495,0.2126664068443091,0.02401756253813313,101.69412995916458,-0.1730711753996291,0.22110630047589538,0.029322970357270307,120.06139618133949,-0.18482578798974164,0.24347172870428224
z_score6,95,0.19624617738527514,39.522126569335704,-0.08249810228794915,0.4749904570584994,0.26343138210839256,445.7565046269479,-0.14920043328177535,0.6760631974985605,0.22559608077691876,539.1547500502633,-0.22821028518611744,0.679402446739955
z_score7,5,0.21218777195166783,31.46463131444327,-0.03652445431753129,0.4608999982208669,0.5349051231625092,312.89958536914753,0.18919160656516315,0.8806186397598552,0.4764374696214615,370.24612624043965,0.10037574999197851,0.8524991892509445
z_score7,15,-0.12349945003369078,16.774176364978572,-0.3050955067595619,0.058096606692180336,0.04610248923202271,55.76626202542446,-0.09984600996644946,0.19205098843049487,-0.03502991311495214,70.18788439244025,-0.19876620169810555,0.12870637546820124
z_score7,25,-0.0015224478805921386,13.4271003231053,-0.1639938499347194,0.16094895417353514,0.13955551621323184,24.19965244286401,0.04341234779712126,0.2356986846293424,0.1308007455871811,35.49314540797863,0.01436505855078861,0.2472364326235736
z_score7,35,0.05241823529446211,12.837828488545336,-0.10644799704529759,0.2112844676342218,0.09705686114371774,20.591263873308264,0.008370799759315706,0.18574292252811977,0.09475709738951066,29.134793654747952,-0.010734978673926837,0.20024917345294815
z_score7,45,0.0021265793904845583,14.76647943154837,-0.16825564889917533,0.17250880768014443,0.015329753719168874,25.598658170990703,-0.08355343583991415,0.1142129432782519,-0.007440114208068396,33.108258677242276,-0.11989595987723782,0.10501573146110103
z_score7,55,-0.11270751038367809,14.223204255833238,-0.27992609178162403,0.054511071014267845,-0.0352557944651746,31.34544206568286,-0.14467689172244486,0.07416530279209564,-0.06461463041412929,39.17877928370877,-0.18694641635299505,0.05771715552473647
z_score7,65,-0.18708683921499772,15.388662880734275,-0.3610215479057923,-0.013152130524203165,-0.064157518148054,34.41700121067596,-0.17881446672889362,0.050499430432785625,-0.08324586781567661,44.166749346216186,-0.21313164107586513,0.04663990544451191
z_score7,75,-0.14993380167234474,17.055186750712725,-0.3330446399932898,0.033177036648600305,-0.08074827811902857,51.371946808798285,-0.22082851841109524,0.0593319621730381,-0.1221895955504393,62.7943322172798,-0.27706201716513135,0.032682826064252726
z_score7,85,0.015339014926497311,19.306451420324724,-0.17948255541590638,0.210160585268901,0.026028285094232707,95.30368535188093,-0.16476747233752073,0.21682404252598617,-0.0069632270590832945,112.86142260644527,-0.2145915643304314,0.20066511021226482
z_score7,95,0.2658894542867689,36.83276951963192,-0.0032039165953545723,0.5349828251688924,0.2616162328816293,438.5718691442714,-0.1476767055857055,0.6709091713489641,0.16512612504112814,513.3019197403951,-0.2776664300224415,0.6079186801046979
z_score8,5,0.08862405425231647,27.68807712854402,-0.1446853310057366,0.3219334395103695,0.4684369624423228,273.7025519683235,0.14510153721575703,0.7917723876688886,0.4496419689584566,316.3252112648196,0.10204116732885138,0.7972427705880618
z_score8,15,-0.10960954039298944,18.7475465306846,-0.3015904439803168,0.08237136319433795,0.04716330992190681,48.34690557279488,-0.08873004080135102,0.18305666064516465,-0.020261839069782156,61.871669913612976,-0.17399224885387718,0.13346857071431287
z_score8,25,0.04421502414717789,13.824157051373067,-0.1206411211448976,0.20907116943925336,0.13751655427573714,22.01813234380081,0.04580921257098659,0.2292238959804877,0.09264332352334935,33.05783719042188,-0.019726858452905366,0.20501350549960407
z_score8,35,0.02997258440841063,12.292946947418104,-0.12548568007980804,0.1854308488966293,0.10121590299826463,18.565784189143667,0.017004575246972034,0.18542723074955725,0.07749308270660178,28.403798183350048,-0.0266671820347283,0.18165334744793188
z_score8,45,-0.0713126334509971,14.690816845490671,-0.2412577867961353,0.09863251989414111,0.02236095100525598,22.316119342081663,-0.06996487537713954,0.1146867773876515,0.0306635174138134,31.85660238350099,-0.07964615463259744,0.14097318946022425
z_score8,55,-0.15577549594742074,14.771379233642877,-0.32618598994389547,0.014634998049053966,-0.023479666241137294,28.000326876437576,-0.1268974952468284,0.07993816276455379,-0.0030679242868125434,38.64925679278942,-0.12457020761648367,0.11843435904285858
z_score8,65,-0.1623367813767979,15.22981849207862,-0.33537146971841636,0.010697906964820536,-0.054232905456908995,30.154218064322837,-0.1615546939650575,0.053088883051239516,-0.03606805973149011,45.65142808231354,-0.16811886375705834,0.09598274429407813
z_score8,75,-0.10761504564186473,17.242226308421277,-0.2917272093170195,0.07649711803329005,-0.07854971704404398,45.072592909577544,-0.20976068437567003,0.05266125028758206,-0.10228713402564506,64.93654202784275,-0.2597791147392209,0.055204846687930756
z_score8,85,0.08014248535061465,19.074247614207465,-0.11350395558452901,0.2737889262857583,0.012718607168190935,83.6774673316125,-0.16606106205543414,0.191498276391816,-0.017723551177251166,116.73322578751247,-0.22888328671801209,0.19343618436350976
z_score8,95,0.2721596433567544,35.94839895323741,0.006316423915676717,0.5380028627978322,0.24036591687152636,388.45857950550936,-0.1448340355589819,0.6255658693020346,0.09534375296167745,506.9658187043233,-0.3447074426882091,0.535394948611564
